Acct,Ticker,Currency,Margin %,Date,Trans Type,Shares,Strike/Price,Expiry,Net Gains,Notes,
PAPER,MSFT,USD,0.30,2023-03-03,Put,100 ,340.00 ,2024-06-21,"9,238.58 ",,
PAPER,MSFT,USD,0.30,2023-03-06,Put,-100 ,340.00 ,2024-06-21,"-8,556.66 ",,
PAPER,MSFT,USD,0.30,2023-03-06,Put,100 ,340.00 ,2024-12-20,"8,643.60 ",,
LOC,LOC,CAD,0.00,2023-03-07,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,MSFT,USD,0.00,2023-03-09,Div,0 ,0.00 ,,31.96 ,,
PAPER,MSFT,USD,0.00,2023-03-09,Int / Tax,0 ,0.00 ,,-4.79 ,,
PAPER,MSFT,USD,0.00,2023-03-09,Int / Tax,0 ,0.00 ,,-10.24 ,,
PAPER,NTINV,CAD,0.00,2023-03-24,Cash,0 ,0.00 ,9999-12-31,"3,339.99 ",Invest - Pre Convert,
PAPER,CM,CAD,0.30,2023-03-24,Stk,59 ,0.00 ,,"-3,339.99 ",move over stock from ESPP,
LOC,LOC,CAD,0.00,2023-04-06,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,CM,CAD,0.00,2023-04-28,Div,0 ,0.00 ,,50.15 ,,
LOC,LOC,CAD,0.00,2023-05-06,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,FAZ,USD,1.00,2023-05-30,Call,-100 ,16.00 ,2023-06-16,-616.20 ,,
