Acct,Ticker,Currency,Margin %,Date,Trans Type,Shares,Strike/Price,Expiry,Net Gains,Notes
PAPER,FTNT,USD,0.3,2024-05-06,Put,700,67.5,2024-06-21,"6,286.24",
PAPER,FTNT,USD,0.3,2024-05-13,Put,-700,67.5,2024-06-21,"-6,110.98",
PAPER,FTNT,USD,0.3,2024-05-13,Put,700,67.5,2024-06-21,"6,146.24",
LOC,LOC,CAD,0,2024-05-15,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,Other,USD,0,2024-05-16,Int / Tax,0,0,2024-05-16,-54.44,Operational Loss - Negative balance due to aftermarket assignments
PAPER,ALGN,USD,0.3,2024-05-16,Put,-200,290,2024-05-17,"-2,807.45",
PAPER,ALGN,USD,0.3,2024-05-16,Put,200,290,2024-06-21,"3,752.51",
PAPER,TTD,USD,0.3,2024-05-17,Put,-700,90,2024-05-17,0,
PAPER,TEAM,USD,0.3,2024-05-17,Put,-300,180,2024-05-17,0,
PAPER,YZINV,USD,0.3,2024-05-21,Cash,0,0,9999-12-31,"-50,000.00",Rebalancing - Transfer to OKANE
OKANE,YZINV,USD,0.3,2024-05-22,Cash,0,0,9999-12-31,"50,000.22",Rebalancing - Transfer to OKANE
PAPER,ALGN,USD,0.3,2024-05-22,Put,-200,290,2024-06-21,"-5,467.45",Rebalancing - Transfer to OKANE
OKANE,ALGN,USD,0.3,2024-05-22,Put,200,290,2024-06-21,"5,470.39",Rebalancing - Transfer to OKANE
PAPER,DG,USD,0.3,2024-05-22,Put,-600,160,2024-06-21,"-12,012.45",Rebalancing - Transfer to OKANE
OKANE,DG,USD,0.3,2024-05-22,Put,600,160,2024-06-21,"11,925.21",Rebalancing - Transfer to OKANE
PAPER,YZINV,USD,0.3,2024-05-22,Cash,0,0,9999-12-31,"-40,000.00",Rebalancing - Transfer to OKANE
OKANE,YZINV,USD,0.3,2024-05-22,Cash,0,0,9999-12-31,"40,000.00",Rebalancing - Transfer to OKANE
PAPER,FTNT,USD,0.3,2024-05-22,Put,-700,67.5,2024-06-21,"-4,493.70",Rebalancing - Transfer to OKANE
OKANE,FTNT,USD,0.3,2024-05-22,Put,700,67.5,2024-06-21,"4,464.17",Rebalancing - Transfer to OKANE
PAPER,YZINV,USD,0.3,2024-05-22,Cash,0,0,9999-12-31,"-15,604.34",Rebalancing - Transfer to OKANE
